Container has 1000 elements
1. "sKJt5AkLHhxXNY", Hash=88; Replacements: 2 (N-O B-j); Result: "sKJt5AkLHhxXOY"
2. "KJcF", Hash=79.5; Replacements: 20 (W-P h-o e-U S-5 J-K D-B G-Y u-2 r-p p-n E-S l-Q C-r Y-x X-k n-l g-d 5-O U-e m-W); Result: "KKcF"
3. "1", Hash=49; Replacements: 15 (B-W j-P K-2 m-7 f-o F-X o-e x-v M-c U-C d-A T-q W-Y D-d L-8); Result: "1"
4. "sn", Hash=112.5; Replacements: 10 (E-3 p-C G-Y Z-H q-w F-q 2-7 S-p Y-x  -c); Result: "sn"
5. "k99B", Hash=71.75; Replacements: 17 (k-73 u-3 f-66  -95 Z-222 w-38 D-89 h-75 E-79 R-208 6-193 t-233 y-35 U-210 W-255 m-31 9-162); Result: [73 162 162 66]
6. "Z", Hash=90; Shift: 12; Result: "•"
7. "Auo bI9lkzr7XGk6M", Hash=85.6471; Replacements: 9 (B-57 u-178 K-246 c-122 0-176 i-193 6-171 x-11 b-13); Result: [65 178 111 32 13 73 57 108 107 122 114 55 88 71 107 171 77]
8. "7W", Hash=71; Shift: 18; Result: "‹]"
9. "my8cHE0j", Hash=85; Shift: 2; Result: "µÂ‡ç!¿©"
10. "wf2WwigL0pdp04Asyi", Hash=91.0556; Shift: 13; Result: "ÓÃFÍÓ-ÏâåÜ(n/-"
11. "g", Hash=103; Replacements: 20 (h-232 0-240 v-68 Y-244 F-236 J-212 L-226 I-58 1-39 m-38 l-143 K-169 X-61 M-146 t-69 o-30 6-67 d-223 i-117 4-96); Result: [103]
12. "8m", Hash=82.5; Replacements: 19 (3-z Q-0 m-d O-k D-b N-8 a-D 4-J T-x g-l S-p A-P 0-M b-  H-o u-F r-q k-9 q-C); Result: "8d"
13. "WhsNo653YrBOZlmKnKB", Hash=86; Replacements: 8 (T-O C-x w-o 7-c u-k J-p I-3 v-m); Result: "WhsNo653YrBOZlmKnKB"
14. "wiZnVguKnKlqZQAlPM b", Hash=92.1; Replacements: 1 (U-w); Result: "wiZnVguKnKlqZQAlPM b"
15. "JBHmBu2qnlSPcA2ZS ", Hash=81.5; Shift: 3; Result: "RBk´ëãscöÇ
ë“ö"
16. "J", Hash=74; Shift: 13; Result: "I"
17. "tW", Hash=101.5; Shift: 8; Result: "tW"
18. "kMS0TriUMSivtqpaJK5", Hash=90.8421; Shift: 3; Result: "[jöÅ¢ìK™jöK≥£ãÉRZ©"
19. "0sao7AhPjL", Hash=85.7; Replacements: 16 (J-M s-e 4-g X-K l-s r-6 U-y e-j D-N C-  c-H 1-3 j-A k-7 u-U H-I); Result: "0eao7AhPAL"
20. "S h6WEd8HnBzWnCL", Hash=80.9375; Shift: 0; Result: "S h6WEd8HnBzWnCL"
21. "fzF1PXUq6", Hash=84.7778; Replacements: 19 (l-95 r-22 7-54 e-205 P-120 n-26 T-232 z-8 s-57 2-235 L-109 v-58 p-79 x-63 1-19 h-253 u-65 k-211 q-72); Result: [102 8 70 19 120 88 85 72 54]
22. "gpcn3VV2z", Hash=91; Replacements: 14 (2-s w-o A-Z V-r d-G o-f 7-b M-  1-x  -0 x-q K-d g-5 q-a); Result: "5pcn3rrsz"
23. "aLUu8zLWYLd8 yxzW4", Hash=87.2778; Replacements: 17 (R-225 O-129 H-212 M-104 F-191 z-42 g-96 K-111 d-81 3-78 n-194 t-67 P-5 l-249 4-183 h-152 W-238); Result: [97 76 85 117 56 42 76 238 89 76 81 56 32 121 120 42 238 183]
24. "x", Hash=120; Replacements: 2 (q-u 9-6); Result: "x"
25. "UQQZSXoz4hCkaH", Hash=88.5714; Replacements: 7 (Z-114 Q-61 e-103 l-71  -152 p-119 8-76); Result: [85 61 61 114 83 88 111 122 52 104 67 107 97 72]
26. "4vqOiFfU5NGu", Hash=86.9167; Replacements: 19 (K-T z-B Q-A u-g R-w v-R 3-7 j-v 2-s 0-F G-L h-c X-q x-i P-1 Y-f c-C U-U 8-S); Result: "4RqOiFfU5NLg"
27. "Yaa1", Hash=83; Replacements: 12 (h-Y F-J v-f d-5 R-4 S-D H-G O-t M-P s-E X-o i-Z); Result: "Yaa1"
28. "FfhjYZdFYUlqlsLb", Hash=95.1875; Replacements: 1 (x-1); Result: "FfhjYZdFYUlqlsLb"
29. "sOLnC9Nf1815tBdUHOW4", Hash=77.4; Shift: 11; Result: "õzbs…r3â¡â©£#™Bz∫°"
30. "mAhWKXGogaIQIG", Hash=86.2857; Replacements: 5 (F-j e-m n-L 3-r I-o); Result: "mAhWKXGogaoQoG"
